generation,i,fitness,hash,mom_hash,dad_hash,values
0,35,516,1535491249333511826,0,0,0  0  1  0  0  0  0  0  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  1  0  1  0  1  1  1  1  1  0  1  0  0  1  1  1  1  0  0  1  1  0  1  1  0  1  0  1  1  1  0  0  1  1  1  1  0  1  0  0  1  1  1  0  1  0  1  0  0  0
0,36,514,5726921092397869177,0,0,1  0  1  0  1  1  0  0  1  1  1  0  1  1  1  1  0  1  1  0  1  1  0  1  0  0  1  1  0  0  1  0  0  1  1  1  1  0  0  0  1  1  1  1  1  0  0  1  0  0  0  1  0  1  0  1  1  0  1  0  1  0  1  1  1  1  0  1  0  1  0  0  0
0,37,513,-7759623573105307400,0,0,0  1  0  1  0  0  0  1  1  0  0  1  1  0  1  1  1  1  0  0  1  0  1  0  1  0  0  0  1  1  0  1  1  1  0  0  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  1  0  1  0  1  1  0  0  0  1  1  1  1  0  0  1  0  0  0  0  0  0
0,38,513,4462808361761391052,0,0,0  1  1  1  1  1  1  1  1  0  1  0  1  0  1  0  0  1  1  0  0  1  1  0  1  1  1  0  0  0  0  1  0  1  1  0  1  0  0  0  0  0  0  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  1  0  1  1
0,39,513,-5545340837835628179,0,0,0  0  1  1  0  0  1  1  0  0  1  1  1  1  1  1  1  0  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  1  0  1  1  1  1  1  0  1  0  1  0  1  1  0  1  1  0  1  0  0  1  1  0  0  0  0  0  0  1  0  0  1  0  0  1  1  0  0  1
0,40,512,6900872797679373492,0,0,0  1  0  0  0  1  0  0  0  0  1  0  0  1  0  1  0  1  1  1  0  1  0  0  0  1  1  1  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  0  1  0  1  1  0  1  0  1
0,41,511,-1035622219334288786,0,0,0  1  0  1  0  1  1  0  0  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  1  1  1  0  0  1  1  1  0  0  1  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  1  0  0  0  1  1  1  1  1  1  0  1  0  0  0
0,42,506,-1967277540278491867,0,0,0  1  1  1  0  0  1  0  1  0  1  1  0  1  1  0  0  1  0  1  1  1  0  0  1  0  1  0  0  1  1  1  0  1  0  0  0  1  0  1  0  1  0  1  1  0  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  1  1  0  1  0  0  1  0  1  1  0  1
0,43,505,598541330306745047,0,0,0  1  1  0  0  0  1  0  0  1  1  1  1  0  0  0  0  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  1  0  1  1  1  1  1  1  0  1  0  0  0  0  0  1  0  0  1  0  0  1  1  0  0  1  1  1  1  1  1  1  1  0  0  1  0  1  1  0  1
0,44,505,3714832424863899958,0,0,0  0  0  1  1  0  1  0  1  1  0  0  0  1  0  0  0  1  1  0  0  1  1  0  1  0  1  1  0  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  1  1  1  0  0  1  1  1  1  0  1  1  0  0  0  1  1  1  0  1  1  1  0  0  1  1  0  1
0,45,501,-2499275794363789590,0,0,1  1  1  0  1  1  1  1  1  0  0  0  0  0  0  0  1  1  0  1  0  1  0  0  1  1  0  0  1  1  0  0  0  1  1  0  1  1  1  1  0  1  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  0  0  1  0  1  0  1  1  0  0  0  0  0  1  1
0,46,498,182457143641872054,0,0,1  0  0  1  1  0  0  1  1  1  0  0  1  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  1  0  0  0  1  1  1  0  0  0  0  0  1  0  0  1  1  1  1  1  1  0  0  1  0  0  0  0  0  0  0  1  1  1  1  1  1  0  0  1  1  1  0  0  1
0,47,497,-7309635718220245143,0,0,1  0  0  0  0  0  0  0  1  1  0  0  1  1  0  1  1  1  1  0  0  0  0  0  1  0  1  1  1  0  0  1  1  1  1  0  0  0  1  0  1  0  1  1  0  1  1  1  0  1  0  0  1  1  1  1  1  0  0  0  0  0  1  1  1  0  1  1  0  0  0  0  0
0,48,497,8452232474117955144,0,0,0  1  0  1  1  1  0  0  1  1  0  1  0  0  0  0  1  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  0  1  0  0  1  1  0  0  1  0  1  0  1  1  0  1  1  1  1  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  1  1  0  1  1  1  0
0,49,494,-8962407317888743811,0,0,1  1  1  1  1  0  0  1  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  1  1  0  1  0  0  1  0  0  1  1  0  1  0  0  1  1  1  1  1  1  1  1  1  0  0  0  1  0  0  1  0  1  1  0  0  1  0  1  0  1
0,50,490,-3788681641073191183,0,0,0  1  0  1  0  0  0  0  1  1  0  0  1  0  1  1  0  1  0  1  1  1  0  1  0  0  0  1  1  1  0  0  0  1  1  0  1  1  1  1  0  0  0  0  0  0  0  1  1  0  0  0  1  1  0  1  0  0  0  0  0  1  1  1  0  0  0  1  1  1  1  0  0
